,0,3OH10,chitooctaose,self,sflg,smock,snlp,sOGs,spep
0,,0,0,0,0,1,0,1,0
1,AT1G02300,0,0,0,1,0,0,0,1
2,AT1G03010,0,0,0,0,0,0,1,0
3,AT1G03300,0,1,0,1,0,1,1,1
4,AT1G03440,0,0,0,0,0,0,1,0
5,AT1G05280,0,0,0,1,0,0,0,0
6,AT1G05420,0,0,1,1,0,1,1,1
7,AT1G05560,0,0,0,1,0,0,0,0
8,AT1G05690,0,0,1,0,0,0,0,0
9,AT1G05870,0,0,0,1,0,0,0,1
10,AT1G06120,1,0,0,0,0,0,0,0
11,AT1G06160,0,0,1,1,0,1,1,1
12,AT1G06330,0,0,0,0,0,0,0,1
13,AT1G06645,0,1,1,1,0,0,1,1
14,AT1G06980,0,1,1,0,0,0,1,1
15,AT1G07090,0,0,0,0,0,0,1,0
16,AT1G07280,0,0,0,0,0,0,1,0
17,AT1G07290,0,0,0,0,0,0,0,1
18,AT1G07350,0,0,1,0,0,0,0,0
19,AT1G08250,0,0,0,1,0,0,0,0
20,AT1G08400,0,0,0,1,0,0,0,0
21,AT1G08590,0,0,0,1,0,0,0,0
22,AT1G08650,0,0,1,1,0,0,0,0
23,AT1G09220,0,0,0,1,0,0,0,0
24,AT1G09240,1,0,0,0,0,0,0,0
25,AT1G09350,0,0,0,0,0,0,1,0
26,AT1G10020,1,1,0,0,1,1,1,1
27,AT1G10330,0,0,0,0,0,0,1,0
28,AT1G10530,0,0,0,0,0,0,0,1
29,AT1G10550,0,0,0,0,0,0,0,1
30,AT1G10640,0,0,0,1,0,0,0,0
31,AT1G10690,0,0,0,1,0,0,0,0
32,AT1G10790,0,0,0,1,0,0,0,0
33,AT1G11260,0,0,0,0,1,0,0,0
34,AT1G11440,0,0,0,0,0,0,1,0
35,AT1G11710,0,0,1,1,0,0,0,1
36,AT1G12020,0,0,1,1,0,0,1,1
37,AT1G12100,0,1,0,0,0,0,0,0
38,AT1G12300,0,0,0,0,0,0,1,0
39,AT1G12320,0,0,0,0,0,0,0,1
40,AT1G12330,0,0,1,0,0,1,1,1
41,AT1G12620,0,0,1,1,0,0,0,0
42,AT1G12710,0,1,1,1,0,0,1,1
43,AT1G12740,0,0,0,0,0,0,1,0
44,AT1G12805,0,0,0,1,0,0,0,1
45,AT1G12820,0,0,1,1,0,0,1,1
46,AT1G13250,0,0,1,1,0,0,1,0
47,AT1G13940,0,0,1,0,0,0,1,0
48,AT1G14200,0,0,0,0,1,0,0,0
49,AT1G14280,0,0,1,1,0,1,1,1
50,AT1G14440,0,0,0,0,0,0,1,0
51,AT1G14920,0,0,1,0,0,1,1,0
52,AT1G15260,0,0,1,1,0,1,1,0
53,AT1G15550,0,0,1,1,0,1,1,1
54,AT1G15670,0,1,0,0,0,0,1,0
55,AT1G15825,0,0,0,0,0,0,1,1
56,AT1G15830,1,1,1,0,1,0,1,1
57,AT1G15990,0,0,0,0,0,0,0,1
58,AT1G16030,0,0,1,1,0,0,1,1
59,AT1G16390,0,0,0,0,0,0,1,0
60,AT1G16490,0,0,0,1,0,0,0,0
61,AT1G16515,0,0,0,0,0,0,0,1
62,AT1G16750,0,0,1,0,0,0,0,0
63,AT1G17345,0,0,0,1,0,0,0,1
64,AT1G17700,0,0,0,1,0,0,0,0
65,AT1G17920,0,0,0,0,0,0,1,0
66,AT1G18330,0,1,1,1,1,1,1,0
67,AT1G18810,0,1,1,1,0,0,1,0
68,AT1G19397,0,0,0,1,0,0,0,0
69,AT1G19480,0,0,1,0,0,0,0,0
70,AT1G19490,0,0,0,0,0,1,1,0
71,AT1G19620,0,0,0,0,0,0,0,1
72,AT1G19900,0,0,0,0,0,0,1,0
73,AT1G19960,0,0,0,1,0,0,0,0
74,AT1G20650,0,0,0,0,0,0,1,0
75,AT1G20870,0,0,0,0,0,0,1,0
76,AT1G21460,0,1,1,0,0,1,0,1
77,AT1G21910,0,0,0,0,1,0,0,0
78,AT1G22110,1,1,1,1,0,1,1,1
79,AT1G22340,0,0,0,1,0,0,1,1
80,AT1G22380,0,0,0,1,0,0,1,0
81,AT1G22640,0,0,1,0,0,0,1,1
82,AT1G22990,0,0,0,0,0,0,0,1
83,AT1G23390,1,1,0,1,0,0,1,0
84,AT1G23470,0,0,0,0,0,0,0,1
85,AT1G23980,0,0,0,1,0,0,0,0
86,AT1G25098,0,0,0,1,0,0,0,0
87,AT1G25440,1,1,1,1,0,1,1,1
88,AT1G26208,0,0,1,1,0,0,1,1
89,AT1G26210,0,0,1,0,0,0,0,1
90,AT1G26390,1,0,0,0,0,0,0,0
91,AT1G26761,0,0,1,1,0,0,1,0
92,AT1G26762,0,0,0,1,0,0,0,0
93,AT1G26770,0,0,0,0,0,0,1,0
94,AT1G26800,0,1,0,0,1,0,0,0
95,AT1G26920,0,1,1,1,0,1,1,1
96,AT1G27050,0,0,0,1,0,0,0,0
97,AT1G27210,0,0,0,0,0,0,1,0
98,AT1G27740,0,1,0,0,0,0,0,0
99,AT1G28000,0,0,0,1,0,0,0,0
100,AT1G28130,0,0,0,0,0,0,1,0
101,AT1G28260,0,0,0,0,0,0,1,0
102,AT1G28310,0,1,1,1,0,0,1,1
103,AT1G28685,0,0,0,1,0,0,0,0
104,AT1G29000,0,0,0,1,0,0,0,0
105,AT1G29195,0,0,0,0,0,0,0,1
106,AT1G29430,0,0,1,1,0,1,1,0
107,AT1G29440,0,0,0,1,0,1,0,0
108,AT1G29450,0,0,1,1,0,1,1,0
109,AT1G29460,0,0,1,1,0,0,1,1
110,AT1G29500,0,0,0,1,1,1,1,0
111,AT1G29510,0,0,0,1,0,0,0,0
112,AT1G29600,0,0,0,0,0,0,1,0
113,AT1G30160,0,0,1,0,0,0,0,0
114,AT1G30530,0,0,0,0,0,0,1,0
115,AT1G31050,0,0,0,1,0,0,0,0
116,AT1G31173,1,1,1,1,0,1,1,1
117,AT1G31280,0,0,1,0,0,0,0,0
118,AT1G31320,0,0,0,0,0,0,0,1
119,AT1G32240,0,0,0,1,0,0,0,0
120,AT1G32385,0,0,0,0,0,0,0,1
121,AT1G32450,0,0,0,0,0,0,1,0
122,AT1G32740,0,0,0,0,0,0,0,1
123,AT1G33055,1,1,0,1,0,0,0,0
124,AT1G34044,0,0,1,0,0,0,0,0
125,AT1G34245,0,0,1,0,0,0,0,1
126,AT1G34330,0,0,0,0,0,0,0,1
127,AT1G34640,0,0,0,0,0,0,0,1
128,AT1G34844,0,0,0,1,0,0,0,0
129,AT1G35170,0,0,0,0,0,0,1,0
130,AT1G35180,0,0,0,0,0,0,1,0
131,AT1G35660,0,0,0,0,0,0,1,0
132,AT1G43020,0,0,0,1,0,0,0,1
133,AT1G43800,0,0,1,0,0,0,0,0
134,AT1G44446,0,0,1,0,0,0,1,0
135,AT1G44608,0,0,0,1,0,0,0,0
136,AT1G45616,1,0,1,1,0,1,1,1
