,0,3OH10,chitooctaose,eATP,self,sflg,sIF1,smock,snlp,sOGs,spep,sPGN
0,AT1G01010,0,0,0,1,1,0,0,1,1,1,0
1,AT1G01020,0,0,0,0,0,0,0,0,0,1,0
2,AT1G01030,0,0,0,1,1,0,0,1,0,1,0
3,AT1G01040,0,0,0,0,0,0,0,0,0,1,0
4,AT1G01060,1,0,1,0,0,0,0,0,0,1,0
5,AT1G01070,0,0,0,1,0,0,0,0,0,1,0
6,AT1G01110,0,0,0,0,0,1,0,0,0,1,0
7,AT1G01120,0,0,0,1,1,0,0,1,0,1,0
8,AT1G01130,0,0,0,1,1,0,0,1,0,0,0
9,AT1G01140,0,0,0,1,0,0,0,1,1,1,0
10,AT1G01180,0,1,0,0,1,0,0,1,0,1,0
11,AT1G01190,0,0,0,0,0,0,0,0,0,1,0
12,AT1G01225,0,0,0,1,0,0,0,0,0,0,0
13,AT1G01230,0,0,0,0,1,0,0,0,0,0,0
14,AT1G01260,0,0,0,1,1,0,0,0,1,1,0
15,AT1G01300,0,0,0,1,0,1,1,0,0,0,0
16,AT1G01340,1,1,0,1,1,0,0,1,1,1,0
17,AT1G01350,0,0,0,1,1,0,0,1,0,1,0
18,AT1G01360,0,0,0,1,0,0,0,0,1,0,0
19,AT1G01390,0,0,0,0,1,0,0,0,0,0,0
20,AT1G01440,0,0,0,0,1,0,0,0,0,1,0
21,AT1G01470,0,0,0,1,0,0,0,0,1,0,0
22,AT1G01480,0,0,0,1,1,0,0,1,1,1,0
23,AT1G01490,0,0,0,1,1,0,0,1,0,1,0
24,AT1G01500,0,0,0,1,1,0,0,0,0,0,0
25,AT1G01510,0,0,0,0,0,0,0,0,0,1,0
26,AT1G01530,0,0,0,1,0,0,0,0,0,0,0
27,AT1G01550,0,0,0,1,1,0,0,1,0,1,0
28,AT1G01560,1,1,0,1,1,0,0,1,1,1,0
29,AT1G01570,0,0,0,0,1,0,0,0,0,0,0
30,AT1G01600,0,0,1,1,0,0,0,0,0,0,0
31,AT1G01620,0,0,0,0,0,0,0,0,0,1,0
32,AT1G01640,0,0,0,0,0,0,0,0,0,1,0
33,AT1G01650,0,0,0,1,1,0,0,1,0,1,0
34,AT1G01660,0,0,0,1,0,0,0,0,0,1,0
35,AT1G01680,0,0,0,1,1,0,0,0,0,0,0
36,AT1G01700,0,0,0,0,1,0,0,0,1,1,0
37,AT1G01720,0,0,0,1,1,0,0,1,0,1,0
38,AT1G01725,0,1,0,1,0,0,0,0,0,0,0
39,AT1G01730,0,0,0,1,0,0,0,0,0,0,0
40,AT1G01740,0,0,0,0,0,0,0,0,0,1,0
41,AT1G01750,0,0,0,0,0,0,0,0,0,1,0
42,AT1G01760,0,0,0,1,0,0,0,0,0,0,0
43,AT1G01790,0,0,0,1,0,0,0,0,0,0,0
44,AT1G01820,0,0,0,1,0,0,0,1,0,0,0
45,AT1G01830,0,0,0,0,0,0,0,0,0,1,0
46,AT1G01910,0,0,0,1,0,0,0,0,0,0,0
47,AT1G01930,0,0,0,0,0,0,0,0,0,1,0
48,AT1G01940,0,0,0,0,0,0,0,1,0,1,0
49,AT1G01950,0,0,0,1,1,0,0,1,1,1,0
50,AT1G01960,0,0,0,1,1,0,0,0,0,1,0
51,AT1G02000,0,0,0,1,1,0,0,0,1,1,0
52,AT1G02020,0,0,0,1,1,0,1,0,0,0,0
53,AT1G02030,0,0,0,1,1,0,0,0,0,0,0
54,AT1G02060,0,0,0,0,0,0,0,0,0,1,0
55,AT1G02065,0,0,0,1,0,0,0,0,0,0,0
56,AT1G02080,0,0,0,1,1,0,0,0,0,1,0
57,AT1G02120,0,0,0,1,1,0,0,1,0,1,0
58,AT1G02170,0,0,0,1,1,0,0,1,1,1,0
59,AT1G02180,0,0,0,0,1,0,0,0,0,0,0
60,AT1G02190,0,0,0,0,1,0,0,0,0,0,0
61,AT1G02205,0,0,0,1,0,0,0,0,1,0,0
62,AT1G02220,0,0,0,1,1,0,0,1,1,1,0
63,AT1G02230,0,0,0,1,1,0,0,1,1,1,0
64,AT1G02260,0,0,0,0,0,0,0,0,0,1,0
65,AT1G02270,0,0,0,1,0,0,0,0,0,0,0
66,AT1G02290,0,0,0,1,0,0,0,0,0,0,0
67,AT1G02305,0,0,0,1,0,0,0,0,0,0,0
68,AT1G02310,0,0,1,1,0,0,0,1,1,0,0
69,AT1G02335,0,0,0,0,0,0,0,0,0,0,1
70,AT1G02360,0,1,0,1,1,0,0,1,1,1,0
71,AT1G02370,0,0,0,1,0,0,0,0,0,0,0
72,AT1G02390,0,0,0,0,0,0,0,0,1,0,0
73,AT1G02400,1,0,0,1,1,1,0,1,1,1,0
74,AT1G02410,0,0,0,1,1,0,0,1,0,0,0
75,AT1G02430,0,0,0,1,1,0,0,0,0,0,0
76,AT1G02440,0,0,0,1,1,0,0,0,0,0,0
77,AT1G02450,0,0,0,0,1,0,0,0,0,0,0
78,AT1G02460,0,0,0,1,1,1,0,1,0,1,0
79,AT1G02470,0,0,0,1,0,0,0,1,1,0,0
80,AT1G02500,0,0,0,1,1,0,0,1,0,0,0
81,AT1G02520,0,0,0,1,1,0,0,0,0,0,0
82,AT1G02530,0,0,0,0,0,0,0,1,0,0,0
83,AT1G02560,0,0,0,1,0,0,0,0,0,0,0
84,AT1G02640,0,0,0,0,1,0,0,0,0,1,0
85,AT1G02660,0,0,0,1,1,0,0,1,1,1,0
86,AT1G02670,0,1,0,0,0,0,0,0,0,0,0
87,AT1G02710,0,0,0,0,0,0,0,0,0,0,1
88,AT1G02730,0,0,0,1,0,0,0,0,0,1,1
89,AT1G02740,0,0,0,1,0,0,0,0,0,0,0
90,AT1G02750,0,0,0,1,0,0,0,0,0,0,0
91,AT1G02800,0,0,1,0,0,0,1,0,0,0,0
92,AT1G02810,0,0,1,1,1,0,1,0,1,1,0
93,AT1G02816,0,0,0,0,0,0,0,0,0,1,0
94,AT1G02850,0,0,0,1,1,0,0,1,1,1,0
95,AT1G02860,0,0,0,1,1,0,0,0,0,1,0
96,AT1G02880,0,0,0,1,1,0,0,1,1,1,0
97,AT1G02890,0,0,0,1,1,0,0,1,0,1,0
98,AT1G02900,0,0,0,0,0,0,0,0,1,0,0
99,AT1G02920,1,1,0,1,1,0,0,1,1,1,0
100,AT1G02930,1,0,0,1,1,0,0,1,1,1,0
101,AT1G02940,0,0,0,1,1,1,0,1,1,1,0
102,AT1G02970,0,0,0,1,0,0,0,0,0,0,0
103,AT1G02990,0,0,0,1,1,0,0,0,0,1,0
104,AT1G03010,1,1,0,1,0,1,1,1,1,0,0
105,AT1G03020,0,1,0,0,0,0,0,0,0,0,0
106,AT1G03030,0,0,0,1,0,0,0,0,0,0,0
107,AT1G03040,0,0,0,1,1,0,0,1,0,1,0
108,AT1G03055,0,0,1,0,0,0,0,0,0,1,0
109,AT1G03060,0,0,0,1,1,0,0,1,1,1,0
110,AT1G03080,0,0,0,1,0,1,0,1,1,1,0
111,AT1G03090,0,0,0,0,1,0,0,0,0,1,0
112,AT1G03100,0,0,0,1,0,0,0,0,0,0,0
113,AT1G03110,0,0,0,1,0,0,0,0,0,0,0
114,AT1G03140,0,0,0,0,1,0,0,0,0,1,0
115,AT1G03170,0,0,0,0,1,0,0,0,0,0,0
116,AT1G03210,0,0,0,0,0,0,0,0,0,1,0
117,AT1G03220,0,1,0,1,1,0,0,1,1,1,0
118,AT1G03230,1,0,0,1,1,0,0,1,1,1,0
119,AT1G03260,0,0,0,1,0,0,0,0,0,0,0
120,AT1G03280,0,0,0,0,0,0,0,0,0,1,0
121,AT1G03290,0,0,0,1,1,0,0,1,1,1,0
122,AT1G03320,0,0,1,0,0,0,0,0,0,0,0
123,AT1G03340,0,0,0,1,0,0,0,0,0,1,0
124,AT1G03350,0,0,0,1,1,0,0,1,0,1,0
